10	9469743   9471999   9504000   9507999   9536000   9539999   9572000   9575999   9632000   9635999   9672000   9675999   9708000   9711999   9740000   9743999   9760000   9763999   9784000   9787999   9800000   9803999   9844000   9847999   9888000   9891999   9912000   9915999   9940000   9943999   9968000   9971999   9988000   9991999   10020000   10023999   10032000   10035999   10068000   10071999   10092000   10095999   10136000   10139999   10152000   10155999   10168000   10171999   10188000   10191999   10208000   10211999   10216000   10219999   10248000   10255999   10280000   10283999   10308000   10311999   10348000   10351999   10400000   10402691   
11	10402692   10403999   10444000   10447999   10456000   10459999   10484000   10487999   10544000   10547999   10624000   10627999   10648000   10651999   10664000   10667999   10708000   10711999   10756000   10759999   10820000   10823999   10844000   10847999   10864000   10867999   10900000   10903999   10932000   10935999   10956000   10959999   10984000   10987999   11008000   11011999   11040000   11043999   11108000   11111999   11136000   11139807   
12	11139808   11139999   11192000   11195999   11220000   11223999   11248000   11251999   11280000   11283999   11316000   11319999   11340000   11343999   11356000   11359999   11368000   11371999   11384000   11387999   11396000   11399999   11416000   11419999   11480000   11483999   11500000   11503999   11544000   11547999   11604000   11607999   11648000   11651999   11736000   11739999   11768000   11771999   11788000   11791999   11820000   11823999   11868000   11871999   11892000   11895999   11920000   11923999   11976000   11979999   12024000   12027999   12044000   12047999   12064000   12067999   12080000   12083999   12116000   12119999   12164000   12166708   
13	12166709   12167999   12184000   12187999   12200000   12203999   12216000   12219999   12264000   12267999   12300000   12303999   12332000   12335999   12364000   12367999   12388000   12391999   12412000   12415999   12432000   12435999   12444000   12447999   12500000   12503999   12520000   12523999   12540000   12543999   12564000   12567999   12576000   12579999   12600000   12603999   12620000   12623999   12652000   12655999   12680000   12683999   12716000   12719999   12736000   12739999   12752000   12755999   12788000   12791999   12832000   12835999   12880000   12883999   12904000   12907999   12928000   12931999   12952000   12955999   12972000   12975999   13008000   13011999   13060000   13063999   13108000   13111030   
14	13111031   13111999   13160000   13163999   13184000   13187999   13200000   13203999   13224000   13227999   13252000   13255999   13272000   13275999   13284000   13287999   13316000   13319999   13340000   13343999   13352000   13355999   13380000   13383999   13392000   13395999   13416000   13419999   13464000   13467999   13488000   13491999   13504000   13507999   13520000   13523999   13560000   13563999   13580000   13583999   13596000   13599999   13652000   13655999   13672000   13675999   13704000   13707999   13712000   13715999   13724000   13727999   13772000   13775999   13816000   13819999   13880000   13883999   13896000   13899999   13916000   13919999   13928000   13931999   13948000   13951999   13960000   13963999   13992000   13995999   14028000   14031999   14052000   14055999   14092000   14093528   
15	14093529   14095999   14152000   14155999   14192000   14195999   14232000   14235999   14256000   14259999   14276000   14279999   14292000   14295999   14320000   14323999   14340000   14343999   14388000   14391999   14460000   14463999   14488000   14491999   14516000   14519999   14540000   14543999   14568000   14571999   14588000   14591999   14612000   14615999   14640000   14643999   14696000   14699999   14708000   14711999   14728000   14731999   14748000   14751999   14780000   14783999   14820000   14823999   14852000   14855999   14872000   14875775   
16	14875776   14875999   14948000   14951999   14968000   14971999   15000000   15003999   15028000   15031999   15068000   15071999   15092000   15095999   15124000   15127999   15136000   15139999   15160000   15163999   15180000   15183999   15196000   15199999   15220000   15223999   15228000   15231999   15248000   15251999   15268000   15271999   15292000   15295999   15308000   15311999   15348000   15351999   15372000   15375999   15384000   15387999   15424000   15427999   15480000   15483999   15524000   15527999   15556000   15559999   15588000   15591999   15636000   15639999   15728000   15731999   15768000   15771999   15804000   15807999   15868000   15870398   
17	15870399   15871999   15912000   15915999   15944000   15947999   15972000   15975999   16016000   16019999   16084000   16087999   16124000   16127999   16156000   16159999   16208000   16211999   16216000   16219999   16308000   16311999   16376000   16379999   16400000   16403999   16432000   16435999   16460000   16463999   16488000   16491999   16508000   16515999   16528000   16531999   16552000   16555999   16568000   16571999   16648000   16651999   16720000   16723999   16732000   16735999   16788000   16789574   
18	16789575   16791999   16800000   16803999   16820000   16823999   16848000   16851999   16868000   16871999   16888000   16891999   16904000   16907999   16940000   16943999   16972000   16975999   17036000   17039999   17056000   17059999   17088000   17091999   17120000   17123999   17212000   17215999   17296000   17299999   17324000   17327999   17360000   17363999   17396000   17399999   17428000   17431999   17464000   17467999   17504000   17507999   17548000   17551999   17588000   17591999   17596000   17599999   17676000   17677921   
19	17677922   17679999   17708000   17711999   17736000   17739999   17764000   17767999   17788000   17791999   17812000   17815999   17832000   17835999   17868000   17871999   17900000   17903999   17972000   17975999   18032000   18035999   18052000   18055999   18080000   18083999   18108000   18111999   18140000   18143999   18192000   18195999   18220000   18223999   18244000   18247999   18280000   18283999   18304000   18307999   18356000   18359999   18416000   18419999   18464000   18467999   18480000   18483999   18504000   18507999   18528000   18531999   18584000   18587999   18648000   18651999   18692000   18695999   18780000   18783999   18832000   18833508   
